"id","Provincia","week","year","cases","ADM2_PCODE_ignore","pop","ADM1_PCODE"
"QUEVEDO","LOS RIOS",15,2018,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",15,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",15,2021,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",15,2022,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",15,2023,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2014,20,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2015,17,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2016,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2018,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2020,5,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2021,6,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2022,11,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",16,2023,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2014,34,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2015,18,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2016,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2017,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2021,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2022,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",17,2023,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2014,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2015,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2016,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2020,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2021,4,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2022,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",18,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2014,17,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2015,19,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2016,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2017,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2022,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",19,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2014,19,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2015,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2016,7,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2017,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2018,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2019,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2020,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2022,9,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",20,2023,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2014,10,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2015,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2018,1,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2020,2,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2021,3,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",21,2022,8,"EC1205",211855,"EC12"
"QUEVEDO","LOS RIOS",22,2014,24,"EC1205",211855,"EC12"
