"","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
"373",0,25.737253291433,0,0,0,0,0,0,0,0,2290.33503144461,3206.45985164465,90518.0903982109,1023.25390121247,0,0,0,0,45.5673688634299,0,0,"220804"
"374",0,1.64662969484925,0,0,0,0,0,0,0,0,200.501192013733,141.398871129607,3094.60548287275,34.5536248423162,0,0,0,0,0,0,0,"220806"
"375",0,14.5339884929717,0,0,0.240094696229816,0,0,0,0,0,34.2192983023768,931.901573856235,4084.98481155284,352.917369084656,0,0,0,0,3.01960011212486,0,0,"220106"
"376",0,0.850937240546046,0,0,0,0,0,0,0,0,616.38176566308,350.816273191968,8213.23616634899,191.927107600825,0,0,0,0,2.85333385865674,0,0,"220809"
"377",0,10.4264620240406,0,0,0.00101065263152122,0,0,0,0,0,324.248203803418,75.1197598694832,0,5540.98197197111,0,0,0,0,103.822844453579,0,0,"220807"
"378",0,2.52767052783611,0,0,1.95540947314167e-18,0,0,0,0,0,503.440671440692,832.449505441389,10909.1696422021,149.531160882208,0,0,0,0,0,0,0,"220802"
"379",0,489.6402642982,0,0,0,0,0,0,0,0,535.35528208354,4328.17408444299,20214.1560386093,1132.20104542266,0,0,0,0,62.3384034633636,0,0,"220805"
"380",0,0,513.972247714182,0,0,0,0,88.7749156197533,0,0,1384.08399736387,538.307826148019,8846.58126276731,741.935242618027,0,0,0,0,0,0,0,"060808"
"381",0,0,0,0,0,0,0,0,0,0,0,2721.41517033392,11462.8014985602,2018.83198127572,0,0,0,0,0,0,0,"150714"
"382",0,0,0,0,0,0,0,5.80087527197783,1.12057325245094,107.346034166919,0,13.8696495671363,0,67.756924677873,0,0,0,0,0,0,0,"150716"
"383",0,2.57600004877895,0,0,0,80.5757233519107,0,4.64959421381354,1001.28950691344,0,0,2265.41895264887,2346.47513151169,3861.51468475908,0,0,0,0,0,0,0,"150722"
"384",0,0,0,0,0,0,0,1.93733741614237e-13,6.12113929421981e-13,0,0,94.4720827714204,0,0.442823610268545,0,0,0,0,0,0,0,"150723"
"385",0,0,0,0,0,0,0,0,4.75928408885972,0,0,1466.66759830563,2379.46121051908,1960.98040340481,0,0,0,0,0,0,0,"150727"
"386",0,0,0,0,0,0,0,0,0,0,0,5079.09990111737,20265.2993955202,6424.43356172665,0,0,0,0,0,0,0,"150728"
"387",0,0,0,0,0,0,0,0,20.7522337201518,0,0,1087.1889796856,1309.02046871185,237.447383614206,0,0,0,0,0,0,0,"150732"
"388",0.0685452409088612,0,0,0,0,0,0,0,0,0,0,1742.44902256294,13185.633051264,3520.31483279284,0,0,0,0,31.0238505987881,0,0,"150504"
"389",0,0,0,0,0,0,0,0,0,0,0,7996.20111285664,1408.13683746423,757.501463381531,0,0,0,0,185.62318789736,0,0,"150508"
"390",0,0,0,0,0,0,0,0,3.38927388191223,0,0,8047.46324635615,29152.8996114225,18401.843244373,0,0,0,0,0,0,0,"150510"
"391",0,0,0,0,0,0,0,0,0,0,0,3188.33490297319,4257.94558286667,2626.58825510498,0,0,0,0,0,0,0,"150513"
"392",0,0,0,0,0,0,0,0,0,0,0,8820.37069970799,19161.6335906349,7579.524168588,0,0,0,0,8.20080629923212e-14,0,0,"150514"
"393",0,0,0,0,0,0,0,0,1.98459803732112,0,0,134.586335711654,736.995111337164,36.5524347238864,0,0,0,0,0,0,0,"060907"
"394",0,37.3576275794174,11.0965090843727,0,0,0,0,50.9603382945231,0,0,1576.64204402075,0,3913.25680362749,258.830299861764,0,0,0,0,4.34167171615812e-11,0,0,"060812"
"395",0,0,7170.51392700856,0,0,0,0,0,0,0,32.5672659461882,8304.80555543169,424188.521670175,1871.85625607936,0,0,0,0,0,0,0,"140105"
"396",0,0,0,0,0,15.4970150386143,0,0.0178812630474567,40.9899619817734,0,0,819.834308101141,663.833917796612,1407.93794775009,0,0,0,0,0,0,0,"140203"
"397",0,0,1892.33742743223,0,0,0,0,0,0,0,0.000102042940852698,18382.5880353032,655048.763521972,26968.0798549567,0,0,0,0,0,0,0,"140101"
"398",0,0,3094.76413792746,0,0,0,0,0,650.891402910334,0,639.393078922292,3311.46562019917,28980.395039722,1343.55144144315,0,0,0,0,0,0,0,"140102"
"399",0,0,5044.04591083323,0,0,0,0,0,117.232704803348,0,468.16107226505,1341.69620913426,7728.96944408491,243.204244017601,0,0,0,0,0,0,0,"140110"
"400",0,0,213.858222356328,0,0,0,0,0,0,0,13.182119791396,1868.3879301734,16757.5360224625,294.686554623265,0,0,0,0,0,0,0,"140111"
"401",0,0,4997.9650113757,0,0,0,0,0,0,0,288.849213433088,12666.6769529117,170387.499994912,15265.5262147635,0,0,0,0,4.86848304726006e-11,0,0,"140112"
"402",0,0,749.517992414556,0,0,0,0,0,457.974467776027,0,268.001360448392,6220.91794631406,43996.1736116259,1289.91454163545,0,0,0,0,0,0,0,"140117"
"403",0,0,395.429523575644,0,0,0,0,0,0,0,0,11458.2127439458,53054.0806919605,964.665825565695,0,0,0,0,0,0,0,"140118"
"404",0,0,1495.80315364251,0,0,0,0,0,14.7477875340264,0,770.899898178416,3426.11658274566,13523.3662826419,613.308128491044,0,0,0,0,0,0,0,"140119"
