"temperature","albopictus.R0.median","aegypti.R0.median"
21.2,0.281754024800802,0.100434888620411
21.3,0.295673186330543,0.107314683986272
21.4,0.309943152129645,0.114468319556299
21.5,0.324566374554092,0.121913266455443
21.6,0.339517651860137,0.129670586293618
21.7,0.354819089654436,0.137718837043365
21.8,0.370441376180819,0.146078565396118
21.9,0.386368207051656,0.154725934933603
22,0.402565022185683,0.163667442243621
22.1,0.419023504883119,0.172903839792017
22.2,0.435769569650675,0.18244823976123
22.3,0.452745702385199,0.192308288193297
22.4,0.46992226901888,0.202486342156998
22.5,0.487304852732369,0.212974956879367
22.6,0.50486556743331,0.223753191301401
22.7,0.522598870588628,0.234807320564817
22.8,0.540460610108748,0.246146626164196
22.9,0.558430873940432,0.257775566255546
23,0.576495411789961,0.269694518712106
23.1,0.594604621287681,0.281881816393462
23.2,0.612729512760121,0.294338095165447
23.3,0.630846062378384,0.307088104229768
23.4,0.64892667669147,0.320083852118816
23.5,0.666942097151709,0.33332578252895
23.6,0.684859355654307,0.34683189808355
23.7,0.702646344871086,0.360576249882574
23.8,0.7202702545183,0.374541315649305
23.9,0.737696530549167,0.388718750774622
24,0.754901705149066,0.403100856860367
24.1,0.771836492891678,0.417677489061148
24.2,0.788474347068808,0.432437402296254
24.3,0.804773645625745,0.447368503431708
24.4,0.820688351139132,0.462457943945434
24.5,0.836179724980638,0.477692165743264
24.6,0.851211807084874,0.493067555221821
24.7,0.865745468829624,0.508555858049933
24.8,0.879741260614533,0.524142221565063
24.9,0.893159406072825,0.539811706854759
25,0.905961522519549,0.555547815073325
25.1,0.91810974484006,0.571333433328689
25.2,0.929566894320054,0.587150699208734
25.3,0.940293189622929,0.602981159084356
25.4,0.950254254339779,0.618805804363664
25.5,0.959413796543318,0.634605100700118
25.6,0.967732508651827,0.650359013210866
25.7,0.975175645942911,0.6660470150054
25.8,0.981706596113845,0.681648186415286
25.9,0.987292325020786,0.697141162896018
26,0.991901976361787,0.712504186324851
26.1,0.995506363520081,0.72771516352996
26.2,0.998076421968467,0.742751668247983
26.3,0.999581870564679,0.7575909729471
26.4,1,0.772209817902803
26.5,0.999307499588946,0.786585109837957
26.6,0.997483847824946,0.800693669683865
26.7,0.994509907153797,0.814511453425763
26.8,0.990368014920092,0.828015088101578
26.9,0.985044236892175,0.841181231558635
27,0.978527562587015,0.853986222474386
27.1,0.970810186525692,0.866406273411581
27.2,0.961889216132077,0.878417558795158
27.3,0.951764648048145,0.889997106360393
27.4,0.940437336325137,0.901121553454774
27.5,0.927913497349939,0.911767732584094
27.6,0.914202231520088,0.921913212392503
27.7,0.899319833933729,0.931535598273295
27.8,0.883281194316732,0.940612576098388
27.9,0.866107081138313,0.949122369062053
28,0.847823027522457,0.957044406013747
28.1,0.828464357579978,0.964357912964855
28.2,0.808068282534799,0.971042942442597
28.3,0.786674976331974,0.977080046837826
28.4,0.764333402738534,0.982451105330691
28.5,0.741094468379051,0.98713832796707
28.6,0.717015661409585,0.991123438030065
28.7,0.692159818685311,0.994391110715786
28.8,0.666593563803256,0.996926374732466
28.9,0.640378838917731,0.998715149055809
29,0.613592861376916,0.999743891083734
29.1,0.586307611400826,1
29.2,0.558601611438704,0.99947380827852
29.3,0.530549682561187,0.998156096388959
29.4,0.502238291106913,0.996038148568775
29.5,0.473756985848393,0.993112635184014
29.6,0.445190452495916,0.989373723857824
29.7,0.4166465455796,0.98481778662051
29.8,0.388234249330939,0.979441936077041
29.9,0.360081145299956,0.973244182029881
30,0.332311237194089,0.966224319661863
30.1,0.305061047680333,0.958384372457488
30.2,0.278492874170822,0.949728306153565
30.3,0.25277646403973,0.940261333749314
30.4,0.22807190435262,0.929990192851121
30.5,0.204543238423456,0.91892323458161
30.6,0.182332944852245,0.907070471000476
30.7,0.161600676810584,0.894443559301328
30.8,0.142452872178658,0.881056461401043
30.9,0.124960277943075,0.866924374043436
31,0.109125534339693,0.852063841184788
31.1,0.094941037725799,0.836493809807302
31.2,0.0823596199754187,0.820234545428822
31.3,0.0712597293233468,0.803308308150994
31.4,0.0615091503010848,0.785738764221274
31.5,0.0529867879643375,0.767551144816492
31.6,0.0455985595153506,0.74877269187301
31.7,0.0392472582201031,0.729432220917401
31.8,0.0338055392194525,0.70955943351153
31.9,0.0291506833625627,0.689186544980316
32,0.0251808690777049,0.668345633183175
32.1,0.0217941079033985,0.647071224794333
32.2,0.0188984718129313,0.625397180237664
32.3,0.0164240963471926,0.603360846899256
32.4,0.0143070659995112,0.580998772313438
32.5,0.012487717065875,0.558349535187077
32.6,0.010923073168955,0.535451208410982
32.7,0.00957285417079155,0.512341347554448
32.8,0.00839653837611011,0.489058103040157
32.9,0.00736900907186862,0.465639032146894
33,0.00646760780082178,0.442118884768636
33.1,0.00567359894062417,0.418530208319209
33.2,0.00496692296898636,0.394901229345486
33.3,0.00433693296861794,0.37125298507363
33.4,0.0037751265544646,0.347597637166695
33.5,0.00327418670777813,0.32393048229795
33.6,0.00282817489697306,0.300220037156601
33.7,0.00243273832301379,0.276385010221775
33.8,0.00208297166045717,0.252238194782519
33.9,0.00177452705155817,0.227308423828834
34,0.00150323873135885,0.199443059745429
